銀行類別,時間,銀行中文名稱,銀行英文名稱,金控註記,活期性存款,定期性存款,外匯存款,公庫存款及其他
本國銀行,201609,臺灣銀行,Bank of Taiwan,T,1084455000000.000000,1921331000000.000000,596887000000.000000,259162000000.000000
本國銀行,201609,臺灣土地銀行,Land Bank of Taiwan,F,684396000000.000000,1164519000000.000000,214733000000.000000,169409000000.000000
本國銀行,201609,合作金庫商業銀行,Taiwan Cooperative Bank,T,1163493000000.000000,962083000000.000000,338137000000.000000,85831000000.000000
本國銀行,201609,第一商業銀行,First Commercial Bank,T,945280000000.000000,465782000000.000000,487300000000.000000,17707000000.000000
